Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
8/10/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,9.2,57,113,268
13-08-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7.3,52.4,35,84
18-08-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,5.6,45,84,170
21-08-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7.1,51.4,143,295
23-08-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,8.2,51.8,58,121
26-08-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7.1,50.8,48,112
29-08-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,5.9,52.9,45,103
9/6/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,6.7,48.6,45,117
9/8/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,6.7,49,51,123
9/11/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,6.4,45.9,91,203
14-09-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,6.4,43.8,45,111
16-09-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7.4,44.6,50,119
21-09-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7.5,44.2,114,251
24-09-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,4.8,34.9,51,123
26-09-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,6.3,42.8,59,139
10/3/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7.4,46.1,72,167
10/5/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,8.7,52.8,191,409
10/11/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,8.9,53.3,192,391
13-10-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,10,52.3,147,314
15-10-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,8.5,50.7,103,219
17-10-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,9.4,51.1,102,223
24-10-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,9.8,52.6,207,411
26-10-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,10.7,56.9,164,338
28-10-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,10.9,56.6,172,356
30-10-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,10.7,58.9,116,285
11/6/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11.2,63.2,279,528
11/8/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,12.1,66.4,189,407
14-11-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,10.6,64.3,185,398
16-11-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,10.6,62.5,166,362
18-11-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11.7,63.3,251,522
24-11-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11.7,64.9,227,466
26-11-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11.7,65.8,196,417
28-11-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11.3,65.6,239,490
12/5/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11.7,66,208,433
12/7/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,12.6,70.5,246,512
12/10/2007,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11.4,70.7,415,789
15-12-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,12.8,71.4,373,729
18-12-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11.6,70.5,320,651
20-12-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11.2,70.1,438,799
23-12-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11.2,70.5,415,803
27-12-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,10.6,75.2,315,635
30-12-07,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,10.6,75.4,365,736
1/4/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6,84.1,158,360
1/6/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6.2,77.8,208,377
1/9/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,7.2,75.7,276,474
1/12/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,8.3,95.8,308,502
15-01-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6.2,78.4,244,436
18-01-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,4.8,69.2,445,662
21-01-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6.9,89.8,264,520
24-01-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6.3,98.9,241,403
29-01-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,7.4,93.3,266,518
2/3/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,7,59.4,204,479
2/6/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6.3,68.8,163,318
2/9/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6.6,68.7,154,267
2/12/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,4.9,63.6,106,218
15-02-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,8.1,75.2,155,312
18-02-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,8,81.6,145,277
21-02-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,8.7,71.3,238,448
25-02-07,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,5.6,65.4,101,187
3/1/2007,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,6,66.3,55,111
